Date,SPY,TSLA
2014-12-31,205.5399932861328,44.481998443603516
2015-01-02,205.42999267578125,43.86199951171875
2015-01-05,201.72000122070312,42.018001556396484
2015-01-06,199.82000732421875,42.25600051879883
2015-01-07,202.30999755859375,42.189998626708984
2015-01-08,205.89999389648438,42.124000549316406
2015-01-09,204.25,41.332000732421875
2015-01-12,202.64999389648438,40.44200134277344
2015-01-13,202.0800018310547,40.849998474121094
2015-01-14,200.86000061035156,38.53799819946289
2015-01-15,199.02000427246094,38.374000549316406
2015-01-16,201.6300048828125,38.61399841308594
2015-01-20,202.05999755859375,38.38600158691406
2015-01-21,203.0800018310547,39.31399917602539
2015-01-22,206.10000610351562,40.32400131225586
2015-01-23,204.97000122070312,40.257999420166016
2015-01-26,205.4499969482422,41.310001373291016
2015-01-27,202.74000549316406,41.19599914550781
2015-01-28,200.13999938964844,39.874000549316406
2015-01-29,201.99000549316406,41.040000915527344
2015-01-30,199.4499969482422,40.720001220703125
2015-02-02,201.9199981689453,42.1879997253418
2015-02-03,204.83999633789062,43.672000885009766
2015-02-04,204.05999755859375,43.709999084472656
2015-02-05,206.1199951171875,44.198001861572266
2015-02-06,205.5500030517578,43.47200012207031
2015-02-09,204.6300048828125,43.49599838256836
2015-02-10,206.80999755859375,43.257999420166016
2015-02-11,206.92999267578125,42.560001373291016
2015-02-12,208.9199981689453,40.57600021362305
2015-02-13,209.77999877929688,40.75400161743164
2015-02-17,210.11000061035156,40.869998931884766
2015-02-18,210.1300048828125,40.891998291015625
2015-02-19,209.97999572753906,42.34199905395508
2015-02-20,211.24000549316406,43.422000885009766
2015-02-23,211.2100067138672,41.46799850463867
2015-02-24,211.80999755859375,40.821998596191406
2015-02-25,211.6300048828125,40.75199890136719
2015-02-26,211.3800048828125,41.4379997253418
2015-02-27,210.66000366210938,40.667999267578125
2015-03-02,211.99000549316406,39.465999603271484
2015-03-03,211.1199951171875,39.9119987487793
2015-03-04,210.22999572753906,40.487998962402344
2015-03-05,210.4600067138672,40.125999450683594
2015-03-06,207.5,38.7760009765625
2015-03-09,208.36000061035156,38.17599868774414
2015-03-10,204.97999572753906,38.06399917602539
2015-03-11,204.5,38.74800109863281
2015-03-12,207.10000610351562,38.2140007019043
2015-03-13,205.8300018310547,37.736000061035156
2015-03-16,208.5800018310547,39.13999938964844
2015-03-17,207.9600067138672,38.94599914550781
2015-03-18,210.4600067138672,40.141998291015625
2015-03-19,209.5,39.130001068115234
2015-03-20,210.41000366210938,39.61600112915039
2015-03-23,210.0,39.92599868774414
2015-03-24,208.82000732421875,40.34400177001953
2015-03-25,205.75999450683594,38.86000061035156
2015-03-26,205.27000427246094,38.082000732421875
2015-03-27,205.74000549316406,37.0
2015-03-30,208.25,38.11399841308594
2015-03-31,206.42999267578125,37.75400161743164
2015-04-01,205.6999969482422,37.518001556396484
2015-04-02,206.44000244140625,38.20000076293945
2015-04-06,207.8300018310547,40.619998931884766
2015-04-07,207.27999877929688,40.650001525878906
2015-04-08,207.97999572753906,41.534000396728516
2015-04-09,208.89999389648438,42.018001556396484
2015-04-10,210.0399932861328,42.18000030517578
2015-04-13,209.08999633789062,41.95600128173828
2015-04-14,209.49000549316406,41.492000579833984
2015-04-15,210.42999267578125,41.566001892089844
2015-04-16,210.3699951171875,41.34000015258789
2015-04-17,207.9499969482422,41.358001708984375
2015-04-20,209.85000610351562,41.05400085449219
2015-04-21,209.60000610351562,41.88199996948242
2015-04-22,210.6300048828125,43.88800048828125
2015-04-23,211.16000366210938,43.720001220703125
2015-04-24,211.64999389648438,43.68600082397461
2015-04-27,210.77000427246094,46.310001373291016
2015-04-28,211.44000244140625,46.09600067138672
2015-04-29,210.57000732421875,46.4900016784668
2015-04-30,208.4600067138672,45.209999084472656
2015-05-01,210.72000122070312,45.20600128173828
2015-05-04,211.32000732421875,46.10200119018555
2015-05-05,208.89999389648438,46.59000015258789
2015-05-06,208.0399932861328,46.08599853515625
2015-05-07,208.8699951171875,47.36000061035156
2015-05-08,211.6199951171875,47.321998596191406
2015-05-11,210.61000061035156,47.89799880981445
2015-05-12,209.97999572753906,48.948001861572266
2015-05-13,210.02000427246094,48.63600158691406
2015-05-14,212.2100067138672,48.81999969482422
2015-05-15,212.44000244140625,49.768001556396484
2015-05-18,213.10000610351562,49.75
2015-05-19,213.02999877929688,49.428001403808594
2015-05-20,212.8800048828125,48.869998931884766
2015-05-21,213.5,49.124000549316406
2015-05-22,212.99000549316406,49.54600143432617
2015-05-26,210.6999969482422,49.492000579833984
2015-05-27,212.6999969482422,49.486000061035156
2015-05-28,212.4600067138672,50.290000915527344
2015-05-29,211.13999938964844,50.15999984741211
2015-06-01,211.57000732421875,49.88999938964844
2015-06-02,211.36000061035156,49.66999816894531
2015-06-03,211.9199981689453,49.79800033569336
2015-06-04,210.1300048828125,49.183998107910156
2015-06-05,209.77000427246094,49.827999114990234
2015-06-08,208.47999572753906,51.257999420166016
2015-06-09,208.4499969482422,51.20000076293945
2015-06-10,210.9499969482422,50.13999938964844
2015-06-11,211.6300048828125,50.28200149536133
2015-06-12,210.00999450683594,50.13800048828125
2015-06-15,209.11000061035156,50.07600021362305
2015-06-16,210.25,50.624000549316406
2015-06-17,210.58999633789062,52.082000732421875
2015-06-18,212.77999877929688,52.37799835205078
2015-06-19,210.80999755859375,52.50199890136719
2015-06-22,211.88999938964844,51.95800018310547
2015-06-23,212.0399932861328,53.534000396728516
2015-06-24,210.5,53.034000396728516
2015-06-25,209.86000061035156,53.757999420166016
2015-06-26,209.82000732421875,53.417999267578125
