DateTime,Open,High,Low,Close,Volume
2004-01-02 15:59:00,110.97,111.04,110.92,111.0,156600.0
2004-01-05 15:59:00,112.38,112.41,112.35,112.37,130500.0
2004-01-06 15:59:00,112.6,112.63,112.58,112.63,302300.0
2004-01-07 15:59:00,112.83,112.92,112.83,112.89,174300.0
2004-01-08 15:59:00,113.34,113.37,113.29,113.32,253900.0
2004-01-09 15:59:00,112.54,112.64,112.48,112.51,286000.0
2004-01-12 15:59:00,113.1,113.12,113.05,113.11,103500.0
2004-01-13 15:59:00,112.4,112.48,112.39,112.45299999999999,215300.0
2004-01-14 15:59:00,113.34,113.35,113.28,113.31,262400.0
2004-01-15 15:59:00,113.53,113.55,113.5,113.53,130700.0
2004-01-16 15:59:00,114.18,114.25,114.17,114.25,280400.0
2004-01-20 15:59:00,114.27,114.29,114.21,114.23,134000.0
2004-01-21 15:59:00,115.07,115.09,115.05,115.06,79900.0
2004-01-22 15:59:00,114.74,114.74,114.7,114.73,108600.0
2004-01-23 15:59:00,114.41,114.42,114.35,114.36,191000.0
2004-01-26 15:59:00,115.8,115.84,115.79,115.8,114700.0
2004-01-27 15:59:00,114.72,114.83,114.7,114.73,199100.0
2004-01-28 15:59:00,113.18,113.27,113.18,113.25,239700.0
2004-01-29 15:59:00,113.73,113.79,113.72,113.75,174400.0
2004-01-30 15:59:00,113.43,113.46,113.4,113.44,196500.0
2004-02-02 15:59:00,113.78,113.87,113.78,113.83,136900.0
2004-02-03 15:59:00,113.92,113.98899999999999,113.91,113.95,152200.0
2004-02-04 15:59:00,113.07,113.1,112.99,113.03,358700.0
2004-02-05 15:59:00,113.3,113.32,113.25,113.26,421100.0
2004-02-06 15:59:00,114.67,114.69,114.63,114.66,340800.0
2004-02-09 15:59:00,114.34,114.37,114.32,114.34,174300.0
2004-02-10 15:59:00,114.94,114.95,114.87,114.9,196700.0
2004-02-11 15:59:00,116.17,116.2,116.13,116.19,137300.0
2004-02-12 15:59:00,115.67,115.7,115.65,115.67,553600.0
2004-02-13 15:59:00,115.1,115.14,115.07,115.12,100500.0
2004-02-17 15:59:00,116.12,116.16,116.11,116.14,138200.0
2004-02-18 15:59:00,115.7,115.73,115.64,115.66,109600.0
2004-02-19 15:59:00,115.19,115.25,115.16,115.22,260400.0
2004-02-20 15:59:00,114.96,115.0,114.94,115.0,164600.0
2004-02-23 15:59:00,114.5,114.55,114.5,114.55,517500.0
2004-02-24 15:59:00,114.46,114.49,114.44,114.45,288800.0
2004-02-25 15:59:00,114.9,114.96,114.87,114.91,407500.0
2004-02-26 15:59:00,115.09,115.1,115.02,115.02,153500.0
2004-02-27 15:59:00,115.05,115.1,115.03,115.08,180200.0
2004-03-01 15:59:00,116.12,116.15,116.08,116.12,215300.0
2004-03-02 15:59:00,115.51,115.52,115.44,115.5,131800.0
2004-03-03 15:59:00,115.69,115.73,115.66,115.7,92100.0
2004-03-04 15:59:00,116.06,116.09,116.04,116.05,157900.0
2004-03-05 15:59:00,116.3,116.34,116.27,116.29,367800.0
2004-03-08 15:59:00,115.29,115.35,115.22,115.26,242000.0
2004-03-09 15:59:00,114.66,114.7,114.63,114.66,118700.0
2004-03-10 15:59:00,113.01,113.04,112.97,112.98,354600.0
2004-03-11 15:59:00,111.22,111.35,111.18,111.3,1020500.0
2004-03-12 15:59:00,112.65,112.7,112.62,112.69,160400.0
2004-03-15 15:59:00,111.02,111.09,111.02,111.08,144200.0
2004-03-16 15:59:00,111.75,111.78,111.72,111.73,244300.0
2004-03-17 15:59:00,113.01,113.09,112.98,113.0,448600.0
2004-03-18 15:59:00,112.88,112.92,112.85,112.9,516500.0
2004-03-19 15:59:00,111.3,111.32,111.18,111.28,645000.0
2004-03-22 15:59:00,109.79,109.8,109.73,109.75,260600.0
2004-03-23 15:59:00,109.65,109.72,109.62,109.65,170000.0
2004-03-24 15:59:00,109.4,109.42,109.36,109.41,157000.0
2004-03-25 15:59:00,111.09,111.14,111.07,111.11,401500.0
2004-03-26 15:59:00,111.13,111.17,111.1,111.17,225800.0
