,signal,returns,cumulative_returns
2005-01-03,0,-0.0,1.0
2005-01-04,1,-0.0,1.0
2005-01-05,1,-0.0035371399696816352,0.9964628600303184
2005-01-06,0,0.0032961460446248037,0.9997473471450228
2005-01-07,0,-0.0,0.9997473471450228
2005-01-10,0,0.0,0.9997473471450228
2005-01-11,1,-0.0,0.9997473471450228
2005-01-12,0,0.004396347649644916,1.0041425840448825
2005-01-13,1,-0.0,1.0041425840448825
2005-01-14,0,0.006202736001359455,1.0103710154014358
2005-01-18,0,0.0,1.0103710154014358
2005-01-19,0,-0.0,1.0103710154014358
2005-01-20,1,-0.0,1.0103710154014358
2005-01-21,1,-0.006805035726437536,1.003495404544672
2005-01-24,1,-0.002911956149366235,1.0005732699305474
2005-01-25,0,0.0038653152379315436,1.004440801037477
2005-01-26,0,0.0,1.004440801037477
2005-01-27,0,0.0,1.004440801037477
2005-01-28,0,-0.0,1.004440801037477
2005-01-31,0,0.0,1.004440801037477
2005-02-01,0,0.0,1.004440801037477
2005-02-02,0,0.0,1.004440801037477
2005-02-03,0,-0.0,1.004440801037477
2005-02-04,0,0.0,1.004440801037477
2005-02-07,0,-0.0,1.004440801037477
2005-02-08,0,0.0,1.004440801037477
2005-02-09,0,-0.0,1.004440801037477
2005-02-10,0,0.0,1.004440801037477
2005-02-11,0,0.0,1.004440801037477
2005-02-14,0,0.0,1.004440801037477
2005-02-15,0,0.0,1.004440801037477
2005-02-16,0,0.0,1.004440801037477
2005-02-17,0,-0.0,1.004440801037477
2005-02-18,0,0.0,1.004440801037477
2005-02-22,1,-0.0,1.004440801037477
2005-02-23,0,0.006239986508137285,1.0107084980841734
2005-02-24,0,0.0,1.0107084980841734
2005-02-25,0,0.0,1.0107084980841734
2005-02-28,0,-0.0,1.0107084980841734
2005-03-01,0,0.0,1.0107084980841734
2005-03-02,0,0.0,1.0107084980841734
2005-03-03,0,0.0,1.0107084980841734
2005-03-04,0,0.0,1.0107084980841734
2005-03-07,0,0.0,1.0107084980841734
2005-03-08,0,-0.0,1.0107084980841734
2005-03-09,0,-0.0,1.0107084980841734
2005-03-10,0,0.0,1.0107084980841734
2005-03-11,1,-0.0,1.0107084980841734
2005-03-14,0,0.005315173158375597,1.0160805887641324
2005-03-15,1,-0.0,1.0160805887641324
2005-03-16,1,-0.008238329033868674,1.0077097825489665
2005-03-17,0,0.0020976673938579715,1.0098236225022912
2005-03-18,1,-0.0,1.0098236225022912
2005-03-21,1,-0.0046292399629660475,1.0051489066334565
2005-03-22,1,-0.009555217317774423,0.9955444903938504
2005-03-23,1,-0.0005976265687697158,0.9949495265559988
2005-03-24,0,0.000683410216982816,0.9956294852278293
2005-03-28,0,0.0,0.9956294852278293
2005-03-29,1,-0.0,0.9956294852278293
2005-03-30,0,0.014776632302405446,1.0103415360404742
2005-03-31,0,-0.0,1.0103415360404742
2005-04-01,0,-0.0,1.0103415360404742
2005-04-04,0,0.0,1.0103415360404742
2005-04-05,0,0.0,1.0103415360404742
2005-04-06,0,0.0,1.0103415360404742
2005-04-07,0,0.0,1.0103415360404742
2005-04-08,0,-0.0,1.0103415360404742
2005-04-11,0,0.0,1.0103415360404742
2005-04-12,0,0.0,1.0103415360404742
2005-04-13,0,-0.0,1.0103415360404742
2005-04-14,1,-0.0,1.0103415360404742
2005-04-15,1,-0.016609294320137802,0.9935604761045178
2005-04-18,0,0.0028878970858492448,0.9964297765080751
2005-04-19,0,0.0,0.9964297765080751
2005-04-20,1,-0.0,0.9964297765080751
2005-04-21,0,0.019333860620440957,1.0156946109251392
2005-04-22,0,-0.0,1.0156946109251392
2005-04-25,0,0.0,1.0156946109251392
2005-04-26,0,-0.0,1.0156946109251392
2005-04-27,0,0.0,1.0156946109251392
2005-04-28,0,-0.0,1.0156946109251392
2005-04-29,0,0.0,1.0156946109251392
2005-05-02,0,0.0,1.0156946109251392
2005-05-03,0,-0.0,1.0156946109251392
2005-05-04,0,0.0,1.0156946109251392
2005-05-05,0,-0.0,1.0156946109251392
2005-05-06,0,-0.0,1.0156946109251392
2005-05-09,0,0.0,1.0156946109251392
2005-05-10,0,-0.0,1.0156946109251392
2005-05-11,0,0.0,1.0156946109251392
2005-05-12,0,-0.0,1.0156946109251392
2005-05-13,1,-0.0,1.0156946109251392
2005-05-16,0,0.010381520892810858,1.026239065749174
2005-05-17,0,0.0,1.026239065749174
2005-05-18,0,0.0,1.026239065749174
2005-05-19,0,0.0,1.026239065749174
2005-05-20,0,-0.0,1.026239065749174
2005-05-23,0,0.0,1.026239065749174
2005-05-24,0,0.0,1.026239065749174
2005-05-25,0,-0.0,1.026239065749174
2005-05-26,0,0.0,1.026239065749174
2005-05-27,0,0.0,1.026239065749174
2005-05-31,0,-0.0,1.026239065749174
2005-06-01,0,0.0,1.026239065749174
2005-06-02,0,0.0,1.026239065749174
2005-06-03,0,-0.0,1.026239065749174
2005-06-06,0,0.0,1.026239065749174
2005-06-07,0,-0.0,1.026239065749174
2005-06-08,0,-0.0,1.026239065749174
2005-06-09,0,0.0,1.026239065749174
2005-06-10,0,-0.0,1.026239065749174
2005-06-13,0,0.0,1.026239065749174
2005-06-14,0,0.0,1.026239065749174
2005-06-15,0,0.0,1.026239065749174
2005-06-16,0,0.0,1.026239065749174
2005-06-17,0,0.0,1.026239065749174
2005-06-20,0,-0.0,1.026239065749174
2005-06-21,0,-0.0,1.026239065749174
2005-06-22,0,0.0,1.026239065749174
2005-06-23,1,-0.0,1.026239065749174
2005-06-24,1,-0.007583333333333275,1.0184567528339095
